epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,6167.96,0.60281,0.43111,1.1031,0.98421,0.97917,0.987,0.89701,0.47776,0.25444,0.9892,5.2795e-05,5.2795e-05,5.2795e-05
132,6204.44,0.58628,0.38787,1.13426,0.98646,0.97917,0.987,0.90503,0.46498,0.2507,0.98239,4.86777e-05,4.86777e-05,4.86777e-05
133,6240.8,0.57309,0.39745,1.11652,0.98728,0.97917,0.987,0.90308,0.45944,0.25161,0.97997,4.47606e-05,4.47606e-05,4.47606e-05
134,6271.61,0.52685,0.3578,1.09028,0.98661,0.97917,0.987,0.90279,0.46052,0.2558,0.98131,4.10454e-05,4.10454e-05,4.10454e-05
135,6300.23,0.55649,0.36865,1.06889,0.98716,0.97917,0.987,0.90099,0.46842,0.2479,0.987,3.75337e-05,3.75337e-05,3.75337e-05
136,6328.29,0.58836,0.39163,1.10334,0.98751,0.98072,0.995,0.89904,0.48026,0.24721,0.99594,3.4227e-05,3.4227e-05,3.4227e-05
137,6360.13,0.57084,0.40374,1.13181,0.98811,0.98074,0.995,0.89881,0.48501,0.24745,0.99945,3.11268e-05,3.11268e-05,3.11268e-05
138,6398.08,0.56153,0.35345,1.09639,0.98821,0.98077,0.995,0.89545,0.48654,0.24484,1.00002,2.82345e-05,2.82345e-05,2.82345e-05
139,6437.54,0.58582,0.38928,1.11701,0.98887,0.97917,0.9942,0.89444,0.49887,0.24553,1.00813,2.55513e-05,2.55513e-05,2.55513e-05
140,6469.91,0.60501,0.45232,1.12135,0.99106,0.98109,0.995,0.89383,0.50879,0.24585,1.01467,2.30784e-05,2.30784e-05,2.30784e-05
141,6528.06,0.48866,0.36468,1.08868,0.99042,0.97917,0.99346,0.88575,0.51936,0.25899,1.02008,2.08169e-05,2.08169e-05,2.08169e-05
142,6559.94,0.47803,0.35567,1.05675,0.98997,0.97917,0.99278,0.87611,0.53588,0.27972,1.03044,1.87678e-05,1.87678e-05,1.87678e-05
143,6593.84,0.48682,0.37834,1.0903,0.98983,0.97917,0.99278,0.87343,0.5387,0.29137,1.03207,1.6932e-05,1.6932e-05,1.6932e-05
144,6628.66,0.51779,0.38055,1.17862,0.99038,0.97917,0.98486,0.86127,0.54895,0.31425,1.04009,1.53102e-05,1.53102e-05,1.53102e-05
145,6661.27,0.42767,0.33413,1.06954,0.99012,0.97917,0.9842,0.85662,0.54938,0.32118,1.04069,1.39032e-05,1.39032e-05,1.39032e-05
146,6705.13,0.4613,0.31225,1.07769,0.98978,0.97917,0.9842,0.85291,0.55091,0.32603,1.04143,1.27117e-05,1.27117e-05,1.27117e-05
147,6740.1,0.41867,0.29791,1.03453,0.98958,0.97917,0.9842,0.85334,0.55496,0.33308,1.04357,1.1736e-05,1.1736e-05,1.1736e-05
148,6774.56,0.47811,0.29536,1.0765,0.98843,0.97917,0.9842,0.86295,0.54302,0.33699,1.03529,1.09768e-05,1.09768e-05,1.09768e-05
149,6802.57,0.48721,0.3004,1.08451,0.98806,0.97917,0.98452,0.86808,0.53718,0.3345,1.03086,1.04342e-05,1.04342e-05,1.04342e-05
150,6839.31,0.43717,0.2763,1.07138,0.98826,0.97917,0.98452,0.8671,0.54007,0.33019,1.03214,1.01086e-05,1.01086e-05,1.01086e-05
